fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
4,2,1.0,0,interlayer_A,continuous,-0.0529377842125629,-0.08537076185800496,0.03243297764544206,-0.2840759557467533,-0.3290294342925922,0.044953478545838865,True,,,
4,2,1.0,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.16452965204409786,0.0373745956388902
4,2,1.0,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.9445141363209433,0.05971330399731045
4,2,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.19508548388094357,0.14188966637745426
4,2,1.0,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.027765015824487895,0.012919741303673363
4,2,1.0,1,interlayer_A,continuous,-0.0529377842125629,-0.06741313330856431,0.014475349096001414,-0.2840759557467533,-0.22245322245322244,0.06162273329353088,True,,,
4,2,1.0,1,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.1390178592636143,0.01186280285840663
4,2,1.0,1,composition_family,categorical,,,,,,,,0.8848008323236328,0.8304565822703006,0.05434425005333221
4,2,1.0,1,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.028237312131236918,0.024958505372252388
4,2,1.0,1,layer_class,categorical,,,,,,,,0.014845274520814532,0.005527337634412225,0.009317936886402308
4,2,1.0,2,interlayer_A,continuous,-0.0529377842125629,-0.008912016165752398,0.0440257680468105,-0.2840759557467533,-0.1438888280993544,0.1401871276473989,True,,,
4,2,1.0,2,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.21795715072675786,0.0908020943215502
4,2,1.0,2,composition_family,categorical,,,,,,,,0.8848008323236328,0.9369223135299717,0.05212148120633886
4,2,1.0,2,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.28105400365539573,0.22785818615190642
4,2,1.0,2,layer_class,categorical,,,,,,,,0.014845274520814532,0.11009639081638176,0.09525111629556722
4,2,3.0,0,interlayer_A,continuous,-0.0529377842125629,-0.06653997150488188,0.013602187292318976,-0.2840759557467533,-0.275292116401045,0.00878383934570831,True,,,
4,2,3.0,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.131472067592246,0.004317011187038339
4,2,3.0,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.7665367656148337,0.11826406670879908
4,2,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.05385981530983758,0.0006639978063482724
4,2,3.0,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.009970087766643482,0.00487518675417105
